as_path,no_of_hops,relationships,validity
"15916,32787,6461,8075",2,"['c-p', 'c-p', 'p-p']",True
"15916,32787,267613,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,1103,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,12859,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,12779,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,49544,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,6830,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,1299,8075",2,"['c-p', 'c-p', 'p-c']",True
"15916,32787,37271,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,38880,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,58511,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,3214,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,9002,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,42541,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,47957,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,31027,8075",2,"['c-p', None, None]",False
"15916,32787,24961,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,29049,8075",2,"['c-p', None, None]",False
"15916,32787,45489,8075",2,"['c-p', None, None]",False
"15916,32787,132559,8075",2,"['c-p', None, None]",False
"15916,32787,34549,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,6939,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,134823,8075",2,"['c-p', None, None]",False
"15916,32787,7029,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,6881,8075",2,"['c-p', None, None]",False
"15916,32787,38008,8075",2,"['c-p', None, None]",False
"15916,32787,835,8075",2,"['c-p', None, None]",False
"15916,32787,20764,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,50304,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,14840,8075",2,"['c-p', None, None]",False
"15916,32787,50629,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,3320,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,34019,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,36236,8075",2,"['c-p', None, None]",False
"15916,32787,39384,8075",2,"['c-p', None, None]",False
"15916,32787,3212,8075",2,"['c-p', None, None]",False
"15916,32787,47787,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,205206,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,12956,8075",2,"['c-p', 'p-p', 'p-c']",True
"15916,32787,59605,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,39351,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,25160,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,47147,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,24482,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,51185,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,6908,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,8218,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,6453,8075",2,"['c-p', 'c-p', 'p-c']",True
"15916,32787,14907,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,8455,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,37721,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,48362,8075",2,"['c-p', None, 'p-p']",False
"15916,32787,38001,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,22652,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,58057,8075",2,"['c-p', 'p-p', None]",False
"15916,32787,1403,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,4608,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,50300,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,17639,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,29504,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,7018,8075",2,"['c-p', 'p-p', 'p-c']",True
"15916,32787,55720,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,852,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,59919,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,60171,8075",2,"['c-p', None, 'p-p']",False
"15916,32787,3216,8075",2,"['c-p', 'p-p', 'p-p']",False
"15916,32787,16552,8075",2,"['c-p', 'p-p', 'p-p']",False
