,Unnamed: 0,as_path,no_of_hops,relationships,validity,rov_of_each_asn,rov_path
0,0,"15916,32787,6461,8075",2,"['c-p', 'c-p', 'p-p']",True,"[NA, 61.538464000000005, 100.0, 100.0]",87
1,1,"15916,32787,1299,8075",2,"['c-p', 'c-p', 'p-c']",True,"[NA, 61.538464000000005, 100.0, 100.0]",87
2,2,"15916,32787,12956,8075",2,"['c-p', 'p-p', 'p-c']",True,"[NA, 61.538464000000005, 100.0, 100.0]",87
3,3,"15916,32787,6453,8075",2,"['c-p', 'c-p', 'p-c']",True,"[NA, 61.538464000000005, 100.0, 100.0]",87
4,4,"15916,32787,7018,8075",2,"['c-p', 'p-p', 'p-c']",True,"[NA, 61.538464000000005, 100.0, 100.0]",87
5,5,"15916,13169,32787,6461,8075",3,"['c-p', 'c-p', 'c-p', 'p-p']",True,"[NA, NA, 61.538464000000005, 100.0, 100.0]",NA
6,6,"15916,13169,32787,1299,8075",3,"['c-p', 'c-p', 'c-p', 'p-c']",True,"[NA, NA, 61.538464000000005, 100.0, 100.0]",NA
7,7,"15916,13169,32787,12956,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[NA, NA, 61.538464000000005, 100.0, 100.0]",NA
8,8,"15916,13169,32787,6453,8075",3,"['c-p', 'c-p', 'c-p', 'p-c']",True,"[NA, NA, 61.538464000000005, 100.0, 100.0]",NA
9,9,"15916,13169,32787,7018,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[NA, NA, 61.538464000000005, 100.0, 100.0]",NA
10,10,"15916,32787,6461,20495,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[NA, 61.538464000000005, 100.0, 0.0, 100.0]",0
11,11,"15916,32787,1299,174,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[NA, 61.538464000000005, 100.0, 100.0, 100.0]",90.25
12,12,"15916,32787,1299,3356,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[NA, 61.538464000000005, 100.0, 100.0, 100.0]",90.25
13,13,"15916,32787,2914,3257,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[NA, 61.538464000000005, 100.0, 100.0, 100.0]",90.25
14,14,"15916,32787,6453,3257,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[NA, 61.538464000000005, 100.0, 100.0, 100.0]",90.25
15,15,"15916,13169,32787,6461,20495,8075",4,"['c-p', 'c-p', 'c-p', 'p-p', 'p-c']",True,"[NA, NA, 61.538464000000005, 100.0, 0.0, 100.0]",NA
16,16,"15916,13169,32787,1299,174,8075",4,"['c-p', 'c-p', 'c-p', 'p-p', 'p-c']",True,"[NA, NA, 61.538464000000005, 100.0, 100.0, 100.0]",NA
17,17,"15916,13169,32787,1299,3356,8075",4,"['c-p', 'c-p', 'c-p', 'p-p', 'p-c']",True,"[NA, NA, 61.538464000000005, 100.0, 100.0, 100.0]",NA
18,18,"15916,13169,32787,2914,3257,8075",4,"['c-p', 'c-p', 'c-p', 'p-p', 'p-c']",True,"[NA, NA, 61.538464000000005, 100.0, 100.0, 100.0]",NA
19,19,"15916,13169,32787,6453,3257,8075",4,"['c-p', 'c-p', 'c-p', 'p-p', 'p-c']",True,"[NA, NA, 61.538464000000005, 100.0, 100.0, 100.0]",NA
