,as_path,no_of_hops,relationships,validity
0,"40985,8455,8075",1,"['c-p', 'p-p']",True
1,"40985,8455,1103,8075",2,"['c-p', 'p-p', 'p-p']",False
2,"40985,8455,1299,8075",2,"['c-p', 'c-p', 'p-c']",True
3,"40985,8455,12779,8075",2,"['c-p', 'p-p', 'p-p']",False
4,"40985,8455,49544,8075",2,"['c-p', 'p-p', 'p-p']",False
5,"40985,8455,58511,8075",2,"['c-p', None, 'p-p']",False
6,"40985,8455,6830,8075",2,"['c-p', 'p-p', 'p-p']",False
7,"40985,8455,199524,8075",2,"['c-p', 'p-p', 'p-p']",False
8,"40985,8455,37271,8075",2,"['c-p', 'p-p', 'p-p']",False
9,"40985,8455,3399,8075",2,"['c-p', 'p-p', 'p-p']",False
10,"40985,8455,9002,8075",2,"['c-p', 'p-p', 'p-p']",False
11,"40985,8455,42541,8075",2,"['c-p', 'p-p', 'p-p']",False
12,"40985,8455,38880,8075",2,"['c-p', 'p-p', 'p-p']",False
13,"40985,8455,31027,8075",2,"['c-p', 'p-p', None]",False
14,"40985,8455,60171,8075",2,"['c-p', 'p-p', 'p-p']",False
15,"40985,8455,24961,8075",2,"['c-p', 'p-p', 'p-p']",False
16,"40985,8455,29049,8075",2,"['c-p', 'p-p', None]",False
17,"40985,8455,45489,8075",2,"['c-p', 'p-p', None]",False
18,"40985,8455,3356,8075",2,"['c-p', 'c-p', 'p-c']",True
19,"40985,8455,6939,8075",2,"['c-p', 'p-p', 'p-p']",False
20,"40985,8455,6461,8075",2,"['c-p', 'p-p', 'p-p']",False
21,"40985,8455,20764,8075",2,"['c-p', 'p-p', 'p-p']",False
22,"40985,8455,50304,8075",2,"['c-p', 'p-p', 'p-p']",False
23,"40985,8455,14840,8075",2,"['c-p', None, None]",False
24,"40985,8455,36236,8075",2,"['c-p', 'p-p', None]",False
25,"40985,8455,8932,8075",2,"['c-p', 'p-p', None]",False
26,"40985,8455,59605,8075",2,"['c-p', 'p-p', 'p-p']",False
27,"40985,8455,39351,8075",2,"['c-p', 'p-p', 'p-p']",False
28,"40985,8455,47147,8075",2,"['c-p', 'p-p', 'p-p']",False
29,"40985,8455,24482,8075",2,"['c-p', 'p-p', 'p-p']",False
30,"40985,8455,51185,8075",2,"['c-p', 'p-p', 'p-p']",False
31,"40985,8455,38001,8075",2,"['c-p', 'p-p', 'p-p']",False
32,"40985,8455,50300,8075",2,"['c-p', 'p-p', 'p-p']",False
33,"40985,8455,3216,8075",2,"['c-p', 'p-p', 'p-p']",False
34,"40985,8455,8283,8075",2,"['c-p', 'p-c', 'p-p']",False
35,"40985,8455,2914,3257,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True
36,"40985,8455,2914,51088,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
37,"40985,8455,2914,16552,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
38,"40985,8455,2914,49544,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
39,"40985,8455,2914,701,8075",3,"['c-p', 'c-p', 'p-p', None]",False
40,"40985,8455,2914,3356,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True
41,"40985,8455,2914,3491,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True
42,"40985,8455,2914,3320,8075",3,"['c-p', 'c-p', 'p-p', 'p-p']",False
43,"40985,8455,2914,12859,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
44,"40985,8455,2914,50629,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
45,"40985,8455,2914,12956,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True
46,"40985,8455,2914,25160,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
47,"40985,8455,2914,6908,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
48,"40985,8455,2914,6453,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True
49,"40985,8455,2914,8283,8075",3,"['c-p', 'c-p', 'p-p', 'p-p']",False
50,"40985,8455,2914,37721,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
51,"40985,8455,2914,6696,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
52,"40985,8455,2914,7018,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True
53,"40985,8455,2914,55720,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
54,"40985,8455,2914,50300,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
55,"40985,8455,52320,267613,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
56,"40985,8455,1299,8888,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
57,"40985,8455,1299,12859,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
58,"40985,8455,1299,174,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True
59,"40985,8455,1299,3491,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True
60,"40985,8455,1299,6758,8075",3,"['c-p', 'c-p', 'p-c', None]",False
61,"40985,8455,1299,1257,8075",3,"['c-p', 'c-p', 'p-p', 'p-p']",False
62,"40985,8455,1299,50629,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
63,"40985,8455,1299,30950,8075",3,"['c-p', 'c-p', 'p-c', None]",False
64,"40985,8455,1299,47787,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
65,"40985,8455,1299,205206,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
66,"40985,8455,1299,15435,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
67,"40985,8455,1299,14907,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
68,"40985,8455,1299,22652,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
69,"40985,8455,1299,20514,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
70,"40985,8455,1299,267613,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
71,"40985,8455,1299,3214,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
72,"40985,8455,1299,48362,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
73,"40985,8455,58511,3491,8075",3,"['c-p', None, 'c-p', 'p-c']",False
74,"40985,8455,58511,3257,8075",3,"['c-p', None, 'c-p', 'p-c']",False
75,"40985,8455,6830,3214,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
76,"40985,8455,6830,8888,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
77,"40985,8455,9002,48362,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
78,"40985,8455,29049,34984,8075",3,"['c-p', 'p-p', 'c-p', None]",False
79,"40985,8455,9498,132559,8075",3,"['c-p', 'p-p', 'p-c', None]",False
80,"40985,8455,3356,8888,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
81,"40985,8455,3356,174,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True
82,"40985,8455,3356,34549,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
83,"40985,8455,3356,38008,8075",3,"['c-p', 'c-p', 'p-c', None]",False
84,"40985,8455,3356,50628,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
85,"40985,8455,3356,30781,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
86,"40985,8455,3356,13830,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
87,"40985,8455,3356,852,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
88,"40985,8455,3356,56655,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
89,"40985,8455,3356,3491,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True
90,"40985,8455,3356,3257,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True
91,"40985,8455,3356,14907,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
92,"40985,8455,3356,267613,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
93,"40985,8455,6939,138195,8075",3,"['c-p', 'p-p', 'p-c', None]",False
94,"40985,8455,6939,55720,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
95,"40985,8455,6939,56655,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
96,"40985,8455,6939,20205,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
97,"40985,8455,6939,58057,8075",3,"['c-p', 'p-p', 'p-c', None]",False
98,"40985,8455,29208,6881,8075",3,"['c-p', 'p-p', 'p-c', None]",False
99,"40985,8455,6461,835,8075",3,"['c-p', 'p-p', 'p-c', None]",False
100,"40985,8455,6461,8218,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
101,"40985,8455,6461,1403,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
102,"40985,8455,9304,17639,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
103,"40985,8455,25091,34019,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
104,"40985,8455,31042,3212,8075",3,"['c-p', 'p-p', 'p-c', None]",False
105,"40985,8455,41047,24961,8075",3,"['c-p', 'p-p', 'c-p', 'p-p']",False
106,"40985,8455,33891,50673,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
107,"40985,8455,62240,58057,8075",3,"['c-p', 'p-p', 'p-c', None]",False
108,"40985,8455,1836,58057,8075",3,"['c-p', 'p-p', 'p-c', None]",False
109,"40985,8455,35280,50628,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
110,"40985,8455,60068,1299,8075",3,"['c-p', 'p-p', 'c-p', 'p-c']",False
111,"40985,8455,41327,59919,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
112,"40985,8455,15830,49420,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
113,"40985,8455,8283,57866,8075",3,"['c-p', 'p-c', 'c-p', 'p-p']",False
114,"40985,8455,2119,20514,8075",3,"['c-p', 'p-p', 'p-p', 'p-p']",False
115,"40985,8455,2914,3257,38008,8075",4,"['c-p', 'c-p', 'p-p', None, None]",False
116,"40985,8455,2914,3257,58511,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', 'p-p']",False
117,"40985,8455,2914,3257,3356,8075",4,"['c-p', 'c-p', 'p-p', 'p-p', 'p-c']",False
118,"40985,8455,2914,3356,8888,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', 'p-p']",False
119,"40985,8455,2914,3356,174,8075",4,"['c-p', 'c-p', 'p-p', 'p-p', 'p-c']",False
120,"40985,8455,2914,3356,34549,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', 'p-p']",False
121,"40985,8455,2914,3356,38008,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', None]",False
122,"40985,8455,2914,3356,50628,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', 'p-p']",False
123,"40985,8455,2914,3356,30781,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', 'p-p']",False
124,"40985,8455,2914,3356,13830,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', 'p-p']",False
125,"40985,8455,2914,3356,852,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', 'p-p']",False
126,"40985,8455,2914,3356,56655,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', 'p-p']",False
127,"40985,8455,2914,3356,3491,8075",4,"['c-p', 'c-p', 'p-p', 'p-p', 'p-c']",False
128,"40985,8455,2914,3356,3257,8075",4,"['c-p', 'c-p', 'p-p', 'p-p', 'p-c']",False
129,"40985,8455,2914,3356,14907,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', 'p-p']",False
130,"40985,8455,2914,3356,267613,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', 'p-p']",False
131,"40985,8455,2914,3491,55720,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', 'p-p']",False
132,"40985,8455,2914,3491,197580,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', None]",False
133,"40985,8455,2914,3491,1299,8075",4,"['c-p', 'c-p', 'p-p', 'p-p', 'p-c']",False
134,"40985,8455,2914,3491,134823,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', None]",False
135,"40985,8455,2914,3491,58511,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', 'p-p']",False
136,"40985,8455,2914,3491,3356,8075",4,"['c-p', 'c-p', 'p-p', 'p-p', 'p-c']",False
137,"40985,8455,2914,3491,38008,8075",4,"['c-p', 'c-p', 'p-p', 'p-p', None]",False
138,"40985,8455,2914,3320,35710,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', 'p-p']",False
139,"40985,8455,2914,12859,1299,8075",4,"['c-p', 'c-p', 'p-c', 'c-p', 'p-c']",False
140,"40985,8455,2914,50629,1299,8075",4,"['c-p', 'c-p', 'p-c', 'c-p', 'p-c']",False
141,"40985,8455,2914,8283,57866,8075",4,"['c-p', 'c-p', 'p-p', 'c-p', 'p-p']",False
142,"40985,8455,2914,132825,174,8075",4,"['c-p', 'c-p', 'p-c', 'c-p', 'p-c']",False
143,"40985,8455,2914,55720,3491,8075",4,"['c-p', 'c-p', 'p-c', 'c-p', 'p-c']",False
144,"40985,8455,2914,55720,6939,8075",4,"['c-p', 'c-p', 'p-c', 'c-p', 'p-p']",False
145,"40985,8455,2914,6762,56457,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', None]",False
146,"40985,8455,2914,6762,51185,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', 'p-p']",False
147,"40985,8455,2914,6762,1299,8075",4,"['c-p', 'c-p', 'p-p', 'p-p', 'p-c']",False
148,"40985,8455,2914,1273,15924,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', None]",False
149,"40985,8455,2914,1273,3356,8075",4,"['c-p', 'c-p', 'p-p', 'p-p', 'p-c']",False
150,"40985,8455,2914,1273,1299,8075",4,"['c-p', 'c-p', 'p-p', 'c-p', 'p-c']",False
151,"40985,8455,52320,267613,1299,8075",4,"['c-p', 'p-p', 'p-c', 'c-p', 'p-c']",False
152,"40985,8455,52320,267613,3356,8075",4,"['c-p', 'p-p', 'p-c', 'c-p', 'p-c']",False
153,"40985,8455,1103,3333,1257,8075",4,"['c-p', 'p-p', 'p-c', 'c-p', 'p-p']",False
154,"40985,8455,1299,8888,3356,8075",4,"['c-p', 'c-p', 'p-c', 'c-p', 'p-c']",False
155,"40985,8455,1299,8888,6830,8075",4,"['c-p', 'c-p', 'p-c', 'c-p', 'p-p']",False
156,"40985,8455,1299,199938,201709,8075",4,"['c-p', 'c-p', 'p-c', 'c-p', None]",False
157,"40985,8455,1299,34854,3257,8075",4,"['c-p', 'c-p', 'p-c', 'c-p', 'p-c']",False
158,"40985,8455,1299,34927,20495,8075",4,"['c-p', 'c-p', 'p-c', 'p-p', 'p-c']",False
159,"40985,8455,1299,34927,56655,8075",4,"['c-p', 'c-p', 'p-c', 'c-p', 'p-p']",False
160,"40985,8455,1299,34927,174,8075",4,"['c-p', 'c-p', 'p-c', 'c-p', 'p-c']",False
161,"40985,8455,1299,174,58057,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', None]",False
162,"40985,8455,1299,174,39591,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', None]",False
163,"40985,8455,1299,174,56457,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', None]",False
164,"40985,8455,1299,174,3356,8075",4,"['c-p', 'c-p', 'p-p', 'p-p', 'p-c']",False
165,"40985,8455,1299,174,39384,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', None]",False
166,"40985,8455,1299,3491,55720,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', 'p-p']",False
167,"40985,8455,1299,3491,197580,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', None]",False
168,"40985,8455,1299,3491,134823,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', None]",False
169,"40985,8455,1299,3491,58511,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', 'p-p']",False
170,"40985,8455,1299,3491,3356,8075",4,"['c-p', 'c-p', 'p-p', 'p-p', 'p-c']",False
171,"40985,8455,1299,3491,38008,8075",4,"['c-p', 'c-p', 'p-p', 'p-p', None]",False
172,"40985,8455,1299,28910,58453,8075",4,"['c-p', 'c-p', 'p-c', 'c-p', 'p-p']",False
173,"40985,8455,1299,28910,9002,8075",4,"['c-p', 'c-p', 'p-c', 'c-p', 'p-p']",False
174,"40985,8455,1299,14907,3356,8075",4,"['c-p', 'c-p', 'p-c', 'c-p', 'p-c']",False
175,"40985,8455,1299,267613,3356,8075",4,"['c-p', 'c-p', 'p-c', 'c-p', 'p-c']",False
176,"40985,8455,1299,3214,6830,8075",4,"['c-p', 'c-p', 'p-c', 'c-p', 'p-p']",False
177,"40985,8455,1299,48362,9002,8075",4,"['c-p', 'c-p', 'p-c', 'c-p', 'p-p']",False
178,"40985,8455,1299,1273,15924,8075",4,"['c-p', 'c-p', 'p-c', 'p-c', None]",False
179,"40985,8455,1299,1273,3356,8075",4,"['c-p', 'c-p', 'p-c', 'p-p', 'p-c']",False
180,"40985,8455,1299,6762,56457,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', None]",False
181,"40985,8455,1299,6762,51185,8075",4,"['c-p', 'c-p', 'p-p', 'p-c', 'p-p']",False
182,"40985,8455,49544,2914,3257,8075",4,"['c-p', 'p-p', 'c-p', 'p-p', 'p-c']",False
183,"40985,8455,49544,2914,51088,8075",4,"['c-p', 'p-p', 'c-p', 'p-c', 'p-p']",False
184,"40985,8455,49544,2914,16552,8075",4,"['c-p', 'p-p', 'c-p', 'p-c', 'p-p']",False
185,"40985,8455,49544,2914,701,8075",4,"['c-p', 'p-p', 'c-p', 'p-p', None]",False
186,"40985,8455,49544,2914,3356,8075",4,"['c-p', 'p-p', 'c-p', 'p-p', 'p-c']",False
187,"40985,8455,49544,2914,3491,8075",4,"['c-p', 'p-p', 'c-p', 'p-p', 'p-c']",False
188,"40985,8455,49544,2914,3320,8075",4,"['c-p', 'p-p', 'c-p', 'p-p', 'p-p']",False
189,"40985,8455,49544,2914,12859,8075",4,"['c-p', 'p-p', 'c-p', 'p-c', 'p-p']",False
190,"40985,8455,49544,2914,50629,8075",4,"['c-p', 'p-p', 'c-p', 'p-c', 'p-p']",False
191,"40985,8455,49544,2914,12956,8075",4,"['c-p', 'p-p', 'c-p', 'p-p', 'p-c']",False
192,"40985,8455,49544,2914,25160,8075",4,"['c-p', 'p-p', 'c-p', 'p-c', 'p-p']",False
193,"40985,8455,49544,2914,6908,8075",4,"['c-p', 'p-p', 'c-p', 'p-c', 'p-p']",False
194,"40985,8455,49544,2914,6453,8075",4,"['c-p', 'p-p', 'c-p', 'p-p', 'p-c']",False
195,"40985,8455,49544,2914,8283,8075",4,"['c-p', 'p-p', 'c-p', 'p-p', 'p-p']",False
196,"40985,8455,49544,2914,37721,8075",4,"['c-p', 'p-p', 'c-p', 'p-c', 'p-p']",False
197,"40985,8455,49544,2914,6696,8075",4,"['c-p', 'p-p', 'c-p', 'p-c', 'p-p']",False
198,"40985,8455,49544,2914,7018,8075",4,"['c-p', 'p-p', 'c-p', 'p-p', 'p-c']",False
199,"40985,8455,49544,2914,55720,8075",4,"['c-p', 'p-p', 'c-p', 'p-c', 'p-p']",False
200,"40985,8455,49544,2914,50300,8075",4,"['c-p', 'p-p', 'c-p', 'p-c', 'p-p']",False
201,"40985,8455,58511,3491,55720,8075",4,"['c-p', None, 'c-p', 'p-c', 'p-p']",False
202,"40985,8455,58511,3491,197580,8075",4,"['c-p', None, 'c-p', 'p-c', None]",False
203,"40985,8455,58511,3491,1299,8075",4,"['c-p', None, 'c-p', 'p-p', 'p-c']",False
204,"40985,8455,58511,3491,134823,8075",4,"['c-p', None, 'c-p', 'p-c', None]",False
205,"40985,8455,58511,3491,3356,8075",4,"['c-p', None, 'c-p', 'p-p', 'p-c']",False
206,"40985,8455,58511,3491,38008,8075",4,"['c-p', None, 'c-p', 'p-p', None]",False
207,"40985,8455,58511,3257,38008,8075",4,"['c-p', None, 'c-p', None, None]",False
208,"40985,8455,58511,3257,3356,8075",4,"['c-p', None, 'c-p', 'p-p', 'p-c']",False
209,"40985,8455,6830,3214,1299,8075",4,"['c-p', 'p-p', 'p-c', 'c-p', 'p-c']",False
210,"40985,8455,6830,8888,1299,8075",4,"['c-p', 'p-p', 'p-c', 'c-p', 'p-c']",False
211,"40985,8455,6830,8888,3356,8075",4,"['c-p', 'p-p', 'p-c', 'c-p', 'p-c']",False
212,"40985,8455,9002,28910,58453,8075",4,"['c-p', 'p-p', 'p-c', 'c-p', 'p-p']",False
213,"40985,8455,9002,28910,1299,8075",4,"['c-p', 'p-p', 'p-c', 'c-p', 'p-c']",False
