,as_path,no_of_hops,relationships,validity,rov_of_each_asn,rov_path
0,"40985,8455,8075",1,"['c-p', 'p-p']",True,"[NA, 0.0, 100.0]",0
1,"40985,8455,1299,8075",2,"['c-p', 'c-p', 'p-c']",True,"[NA, 0.0, 100.0, 100.0]",0
2,"40985,8455,3356,8075",2,"['c-p', 'c-p', 'p-c']",True,"[NA, 0.0, 100.0, 100.0]",0
3,"40985,8455,2914,3257,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[NA, 0.0, 100.0, 100.0, 100.0]",0
4,"40985,8455,2914,3356,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[NA, 0.0, 100.0, 100.0, 100.0]",0
5,"40985,8455,2914,3491,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[NA, 0.0, 100.0, 100.0, 100.0]",0
6,"40985,8455,2914,12956,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[NA, 0.0, 100.0, 100.0, 100.0]",0
7,"40985,8455,2914,6453,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[NA, 0.0, 100.0, 100.0, 100.0]",0
8,"40985,8455,2914,7018,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[NA, 0.0, 100.0, 100.0, 100.0]",0
9,"40985,8455,1299,174,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[NA, 0.0, 100.0, 100.0, 100.0]",0
10,"40985,8455,1299,3491,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[NA, 0.0, 100.0, 100.0, 100.0]",0
11,"40985,8455,3356,174,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[NA, 0.0, 100.0, 100.0, 100.0]",0
12,"40985,8455,3356,3491,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[NA, 0.0, 100.0, 100.0, 100.0]",0
13,"40985,8455,3356,3257,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True,"[NA, 0.0, 100.0, 100.0, 100.0]",0
