,Unnamed: 0,as_path,no_of_hops,relationships,validity
0,0,"15625,1273,2914,3257,8075",3,"['c-p', 'p-p', 'p-p', 'p-c']",False
1,1,"15625,1273,2914,51088,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
2,2,"15625,1273,2914,12779,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
3,3,"15625,1273,2914,38880,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
4,4,"15625,1273,2914,6830,8075",3,"['c-p', 'p-p', 'p-p', 'p-p']",False
5,5,"15625,1273,2914,199524,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
6,6,"15625,1273,2914,16552,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
7,7,"15625,1273,2914,37271,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
8,8,"15625,1273,2914,49544,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
9,9,"15625,1273,2914,3491,8075",3,"['c-p', 'p-p', 'p-p', 'p-c']",False
10,10,"15625,1273,2914,1257,8075",3,"['c-p', 'p-p', 'p-p', 'p-p']",False
11,11,"15625,1273,2914,6461,8075",3,"['c-p', 'p-p', 'p-p', 'p-p']",False
12,12,"15625,1273,2914,3320,8075",3,"['c-p', 'p-p', 'p-p', 'p-p']",False
13,13,"15625,1273,2914,36236,8075",3,"['c-p', 'p-p', 'p-c', None]",False
14,14,"15625,1273,2914,701,8075",3,"['c-p', 'p-p', 'p-p', None]",False
15,15,"15625,1273,2914,3356,8075",3,"['c-p', 'p-p', 'p-p', 'p-c']",False
16,16,"15625,1273,2914,50629,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
17,17,"15625,1273,2914,25160,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
18,18,"15625,1273,2914,24482,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
19,19,"15625,1273,2914,6908,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
20,20,"15625,1273,2914,8455,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
21,21,"15625,1273,2914,12956,8075",3,"['c-p', 'p-p', 'p-p', 'p-c']",False
22,22,"15625,1273,2914,8283,8075",3,"['c-p', 'p-p', 'p-p', 'p-p']",False
23,23,"15625,1273,2914,6696,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
24,24,"15625,1273,2914,14907,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
25,25,"15625,1273,2914,55720,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
26,26,"15625,1273,2914,50300,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
27,27,"15625,1273,2914,7018,8075",3,"['c-p', 'p-p', 'p-p', 'p-c']",False
28,28,"15625,1273,2914,852,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
29,29,"15625,1273,2914,37721,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
30,30,"15625,1273,2914,38001,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
31,31,"15625,1273,2914,12859,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
32,32,"15625,1273,2914,47147,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
33,33,"15625,1273,2914,3399,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
34,34,"15625,1273,2914,30781,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
35,35,"15625,1273,3356,8075",2,"['c-p', 'p-p', 'p-c']",True
36,36,"15625,1273,3356,8888,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
37,37,"15625,1273,3356,267613,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
38,38,"15625,1273,3356,1299,8075",3,"['c-p', 'p-p', 'p-p', 'p-c']",False
39,39,"15625,1273,3356,6830,8075",3,"['c-p', 'p-p', 'p-p', 'p-p']",False
40,40,"15625,1273,3356,3399,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
41,41,"15625,1273,3356,37271,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
42,42,"15625,1273,3356,9002,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
43,43,"15625,1273,3356,31027,8075",3,"['c-p', 'p-p', 'p-c', None]",False
44,44,"15625,1273,3356,49544,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
45,45,"15625,1273,3356,24961,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
46,46,"15625,1273,3356,701,8075",3,"['c-p', 'p-p', 'p-p', None]",False
47,47,"15625,1273,3356,38008,8075",3,"['c-p', 'p-p', 'p-c', None]",False
48,48,"15625,1273,3356,6453,8075",3,"['c-p', 'p-p', 'p-p', 'p-c']",False
49,49,"15625,1273,3356,8932,8075",3,"['c-p', 'p-p', 'p-c', None]",False
50,50,"15625,1273,3356,34549,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
51,51,"15625,1273,3356,174,8075",3,"['c-p', 'p-p', 'p-p', 'p-c']",False
52,52,"15625,1273,3356,6939,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
53,53,"15625,1273,3356,20764,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
54,54,"15625,1273,3356,36236,8075",3,"['c-p', 'p-p', 'p-c', None]",False
55,55,"15625,1273,3356,50628,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
56,56,"15625,1273,3356,59605,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
57,57,"15625,1273,3356,8455,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
58,58,"15625,1273,3356,13830,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
59,59,"15625,1273,3356,852,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
60,60,"15625,1273,3356,30781,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
61,61,"15625,1273,3356,56655,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
62,62,"15625,1273,3356,14907,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
63,63,"15625,1273,3356,50300,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
64,64,"15625,1273,3356,17639,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
65,65,"15625,1273,3356,3216,8075",3,"['c-p', 'p-p', 'p-c', 'p-p']",False
66,66,"15625,1273,3356,3491,8075",3,"['c-p', 'p-p', 'p-p', 'p-c']",False
67,67,"15625,1273,3356,3257,8075",3,"['c-p', 'p-p', 'p-p', 'p-c']",False
68,68,"15625,1273,2603,1103,8075",3,"['c-p', 'p-p', 'p-p', 'p-p']",False
69,69,"15625,1273,1299,8888,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
70,70,"15625,1273,1299,8075",2,"['c-p', 'c-p', 'p-c']",True
71,71,"15625,1273,1299,12859,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
72,72,"15625,1273,1299,42541,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
73,73,"15625,1273,1299,16552,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
74,74,"15625,1273,1299,58511,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
75,75,"15625,1273,1299,199524,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
76,76,"15625,1273,1299,267613,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
77,77,"15625,1273,1299,49544,8075",3,"['c-p', 'c-p', 'p-c', 'p-p']",False
78,78,"15625,1273,1299,6830,8075",3,"['c-p', 'c-p', 'p-p', 'p-p']",False
79,79,"15625,1273,1299,3356,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True
80,80,"15625,1273,1299,174,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True
81,81,"15625,1273,1299,3257,8075",3,"['c-p', 'c-p', 'p-p', 'p-c']",True
82,82,"15625,1273,1299,9002,8075",3,"['c-p', 'c-p', 'p-p', 'p-p']",False
