,Unnamed: 0.1,Unnamed: 0,as_path,no_of_hops,relationships,validity,rov_of_each_asn,rov_path
0,0,0,"15625,1273,3356,8075",2,"[c-p, p-p, p-c]",True,"[0.0, 0.0, 100.0, 100.0]",0
1,1,1,"15625,1273,1299,8075",2,"[c-p, c-p, p-c]",True,"[0.0, 0.0, 100.0, 100.0]",0
2,2,2,"15625,1273,1299,3356,8075",3,"[c-p, c-p, p-p, p-c]",True,"[0.0, 0.0, 100.0, 100.0, 100.0]",0
3,3,3,"15625,1273,1299,174,8075",3,"[c-p, c-p, p-p, p-c]",True,"[0.0, 0.0, 100.0, 100.0, 100.0]",0
4,4,4,"15625,1273,1299,3257,8075",3,"[c-p, c-p, p-p, p-c]",True,"[0.0, 0.0, 100.0, 100.0, 100.0]",0
5,5,5,"15625,1273,1299,3491,8075",3,"[c-p, c-p, p-p, p-c]",True,"[0.0, 0.0, 100.0, 100.0, 100.0]",0
6,6,6,"15625,1273,1299,6453,8075",3,"[c-p, c-p, p-p, p-c]",True,"[0.0, 0.0, 100.0, 100.0, 100.0]",0
7,7,7,"15625,1273,1299,7018,8075",3,"[c-p, c-p, p-p, p-c]",True,"[0.0, 0.0, 100.0, 100.0, 100.0]",0
8,8,8,"15625,1273,1299,4826,8075",3,"[c-p, c-p, p-c, p-c]",True,"[0.0, 0.0, 100.0, 92.85714, 100.0]",0
9,9,9,"15625,1273,174,8075",2,"[c-p, p-p, p-c]",True,"[0.0, 0.0, 100.0, 100.0]",0
10,10,10,"15625,1273,3257,8075",2,"[c-p, p-p, p-c]",True,"[0.0, 0.0, 100.0, 100.0]",0
11,11,11,"15625,1273,3491,8075",2,"[c-p, p-p, p-c]",True,"[0.0, 0.0, 100.0, 100.0]",0
12,12,12,"15625,1273,6453,8075",2,"[c-p, p-p, p-c]",True,"[0.0, 0.0, 100.0, 100.0]",0
13,13,13,"15625,1273,6453,4755,8075",3,"[c-p, p-p, p-c, p-c]",True,"[0.0, 0.0, 100.0, 0.0, 100.0]",0
14,14,14,"15625,1273,12956,8075",2,"[c-p, p-p, p-c]",True,"[0.0, 0.0, 100.0, 100.0]",0
15,15,15,"15625,702,174,8075",2,"[c-p, p-p, p-c]",True,"[0.0, 100.0, 100.0, 100.0]",100.0
16,16,16,"15625,702,1299,8075",2,"[c-p, p-p, p-c]",True,"[0.0, 100.0, 100.0, 100.0]",100.0
17,17,17,"15625,702,1299,4826,8075",3,"[c-p, p-p, p-c, p-c]",True,"[0.0, 100.0, 100.0, 92.85714, 100.0]",98.0
18,18,18,"15625,702,3356,8075",2,"[c-p, p-p, p-c]",True,"[0.0, 100.0, 100.0, 100.0]",100.0
19,19,19,"15625,702,3257,8075",2,"[c-p, p-p, p-c]",True,"[0.0, 100.0, 100.0, 100.0]",100.0
20,20,20,"15625,702,701,3491,8075",3,"[c-p, c-p, p-p, p-c]",True,"[0.0, 100.0, 100.0, 100.0, 100.0]",100.0
21,21,21,"15625,702,701,3356,8075",3,"[c-p, c-p, p-p, p-c]",True,"[0.0, 100.0, 100.0, 100.0, 100.0]",100.0
22,22,22,"15625,702,701,7018,8075",3,"[c-p, c-p, p-p, p-c]",True,"[0.0, 100.0, 100.0, 100.0, 100.0]",100.0
23,23,23,"15625,702,3491,8075",2,"[c-p, p-p, p-c]",True,"[0.0, 100.0, 100.0, 100.0]",100.0
24,24,24,"15625,702,6453,8075",2,"[c-p, p-p, p-c]",True,"[0.0, 100.0, 100.0, 100.0]",100.0
25,25,25,"15625,702,6453,4755,8075",3,"[c-p, p-p, p-c, p-c]",True,"[0.0, 100.0, 100.0, 0.0, 100.0]",0
26,26,26,"15625,702,12956,8075",2,"[c-p, p-p, p-c]",True,"[0.0, 100.0, 100.0, 100.0]",100.0
27,27,27,"15625,19905,22822,1299,8075",3,"[c-p, c-p, c-p, p-c]",True,"[0.0, 100.0, NA, 100.0, 100.0]",NA
28,28,28,"15625,19905,22822,3491,8075",3,"[c-p, c-p, c-p, p-c]",True,"[0.0, 100.0, NA, 100.0, 100.0]",NA
29,29,29,"15625,19905,22822,3356,8075",3,"[c-p, c-p, c-p, p-c]",True,"[0.0, 100.0, NA, 100.0, 100.0]",NA
