,Unnamed: 0,as_path,no_of_hops,relationships,validity
0,0,"56517,20847,50763,8075",2,"['c-p', 'p-p', 'p-p']",False
1,1,"56517,20847,51088,8075",2,"['c-p', 'p-p', 'p-p']",False
2,2,"56517,20847,41805,8075",2,"['c-p', 'p-p', 'p-p']",False
3,3,"56517,20847,1103,8075",2,"['c-p', 'p-p', 'p-p']",False
4,4,"56517,20847,12859,8075",2,"['c-p', 'p-p', 'p-p']",False
5,5,"56517,20847,12779,8075",2,"['c-p', 'p-p', 'p-p']",False
6,6,"56517,20847,49544,8075",2,"['c-p', 'p-p', 'p-p']",False
7,7,"56517,20847,8888,8075",2,"['c-p', None, 'p-p']",False
8,8,"56517,20847,199524,8075",2,"['c-p', 'p-p', 'p-p']",False
9,9,"56517,20847,38880,8075",2,"['c-p', 'p-p', 'p-p']",False
10,10,"56517,20847,39591,8075",2,"['c-p', None, None]",False
11,11,"56517,20847,42541,8075",2,"['c-p', 'p-p', 'p-p']",False
12,12,"56517,20847,1140,8075",2,"['c-p', 'p-p', 'p-p']",False
13,13,"56517,20847,16552,8075",2,"['c-p', None, 'p-p']",False
14,14,"56517,20847,58511,8075",2,"['c-p', None, 'p-p']",False
15,15,"56517,20847,3399,8075",2,"['c-p', 'p-p', 'p-p']",False
16,16,"56517,20847,60171,8075",2,"['c-p', None, 'p-p']",False
17,17,"56517,20847,3356,8075",2,"['c-p', 'c-p', 'p-c']",True
18,18,"56517,20847,197580,8075",2,"['c-p', None, None]",False
19,19,"56517,20847,29049,8075",2,"['c-p', None, None]",False
20,20,"56517,20847,45489,8075",2,"['c-p', None, None]",False
21,21,"56517,20847,6939,8075",2,"['c-p', 'p-p', 'p-p']",False
22,22,"56517,20847,34549,8075",2,"['c-p', 'p-p', 'p-p']",False
23,23,"56517,20847,3257,8075",2,"['c-p', 'c-p', 'p-c']",True
24,24,"56517,20847,6461,8075",2,"['c-p', 'p-p', 'p-p']",False
25,25,"56517,20847,20764,8075",2,"['c-p', 'p-p', 'p-p']",False
26,26,"56517,20847,14840,8075",2,"['c-p', None, None]",False
27,27,"56517,20847,35710,8075",2,"['c-p', 'p-p', 'p-p']",False
28,28,"56517,20847,34019,8075",2,"['c-p', 'p-p', 'p-p']",False
29,29,"56517,20847,36236,8075",2,"['c-p', None, None]",False
30,30,"56517,20847,47787,8075",2,"['c-p', 'p-p', 'p-p']",False
31,31,"56517,20847,8932,8075",2,"['c-p', None, None]",False
32,32,"56517,20847,200780,8075",2,"['c-p', None, 'p-p']",False
33,33,"56517,20847,205206,8075",2,"['c-p', 'p-p', 'p-p']",False
34,34,"56517,20847,59605,8075",2,"['c-p', 'p-p', 'p-p']",False
35,35,"56517,20847,37721,8075",2,"['c-p', 'p-p', 'p-p']",False
36,36,"56517,20847,39351,8075",2,"['c-p', 'p-p', 'p-p']",False
37,37,"56517,20847,15435,8075",2,"['c-p', 'p-p', 'p-p']",False
38,38,"56517,20847,25160,8075",2,"['c-p', 'p-p', 'p-p']",False
39,39,"56517,20847,47147,8075",2,"['c-p', 'p-p', 'p-p']",False
40,40,"56517,20847,24482,8075",2,"['c-p', 'p-p', 'p-p']",False
41,41,"56517,20847,51185,8075",2,"['c-p', 'p-p', 'p-p']",False
42,42,"56517,20847,8218,8075",2,"['c-p', 'p-p', 'p-p']",False
43,43,"56517,20847,8283,8075",2,"['c-p', 'p-p', 'p-p']",False
44,44,"56517,20847,14907,8075",2,"['c-p', 'p-p', 'p-p']",False
45,45,"56517,20847,48362,8075",2,"['c-p', None, 'p-p']",False
46,46,"56517,20847,58057,8075",2,"['c-p', 'p-p', None]",False
47,47,"56517,20847,56655,8075",2,"['c-p', 'p-p', 'p-p']",False
48,48,"56517,20847,50300,8075",2,"['c-p', 'p-p', 'p-p']",False
49,49,"56517,20847,17639,8075",2,"['c-p', 'p-p', 'p-p']",False
50,50,"56517,20847,31025,8075",2,"['c-p', 'p-p', 'p-p']",False
51,51,"56517,20847,3212,8075",2,"['c-p', None, None]",False
52,52,"56517,33915,6830,8075",2,"['c-p', 'c-p', 'p-p']",True
